model,query_id,query_type,precision@5,recall@10,ndcg@10,mrr
nomic-embed-text-v2-moe,Q-01,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-02,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-03,SINGLE_HOP,0.6666666666666666,1.0,0.9385574520455129,1.0
nomic-embed-text-v2-moe,Q-04,SINGLE_HOP,0.5,0.6666666666666666,0.7601875334318685,1.0
nomic-embed-text-v2-moe,Q-05,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-06,SINGLE_HOP,0.2,0.5,0.44412286644879784,0.5
nomic-embed-text-v2-moe,Q-07,SINGLE_HOP,1.0,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-27,SINGLE_HOP,0.6666666666666666,1.0,0.9385574520455129,1.0
nomic-embed-text-v2-moe,Q-28,SINGLE_HOP,0.2,1.0,0.5307212739772434,0.5
nomic-embed-text-v2-moe,Q-30,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-34,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-08,MULTI_HOP,0.6,1.0,0.9424890210124037,1.0
nomic-embed-text-v2-moe,Q-09,MULTI_HOP,1.0,1.0,0.9777813616305049,1.0
nomic-embed-text-v2-moe,Q-10,MULTI_HOP,0.4,0.6666666666666666,0.7060422895895734,1.0
nomic-embed-text-v2-moe,Q-11,MULTI_HOP,0.6666666666666666,0.6666666666666666,0.7232329748419101,1.0
nomic-embed-text-v2-moe,Q-12,MULTI_HOP,0.4,0.6666666666666666,0.8303010754742701,1.0
nomic-embed-text-v2-moe,Q-29,MULTI_HOP,0.6,1.0,0.9777813616305049,1.0
nomic-embed-text-v2-moe,Q-31,MULTI_HOP,0.75,1.0,1.0,1.0
nomic-embed-text-v2-moe,Q-35,MULTI_HOP,0.6,1.0,1.0,1.0
nomic-embed-text-v2-moe,Q-13,AUTHORITY,0.0,0.5,0.16716045496620227,0.16666666666666666
nomic-embed-text-v2-moe,Q-14,AUTHORITY,0.4,1.0,0.9134015924715543,1.0
nomic-embed-text-v2-moe,Q-15,AUTHORITY,0.6666666666666666,1.0,1.0,1.0
nomic-embed-text-v2-moe,Q-16,AUTHORITY,0.6,1.0,0.9298593499260985,1.0
nomic-embed-text-v2-moe,Q-17,AUTHORITY,0.5,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-18,TEMPORAL,0.0,0.0,0.0,0.0
nomic-embed-text-v2-moe,Q-19,TEMPORAL,0.6666666666666666,1.0,0.9134015924715543,1.0
nomic-embed-text-v2-moe,Q-20,TEMPORAL,0.3333333333333333,0.5,0.2960819109658652,0.5
nomic-embed-text-v2-moe,Q-21,TEMPORAL,0.2,0.5,0.7039180890341347,1.0
nomic-embed-text-v2-moe,Q-22,TEMPORAL,0.5,1.0,0.9134015924715543,1.0
nomic-embed-text-v2-moe,Q-23,TEMPORAL,0.4,1.0,0.7415914148287854,1.0
nomic-embed-text-v2-moe,Q-24,EXPLORATORY,0.0,0.0,0.0,0.0
nomic-embed-text-v2-moe,Q-25,EXPLORATORY,0.4,0.5,0.5717014686239509,1.0
nomic-embed-text-v2-moe,Q-26,EXPLORATORY,0.0,0.3333333333333333,0.1131326163504866,0.14285714285714285
nomic-embed-text-v2-moe,Q-32,EXPLORATORY,0.2,0.25,0.14805728754340064,0.3333333333333333
nomic-embed-text-v2-moe,Q-33,EXPLORATORY,0.5,0.6666666666666666,0.8303010754742701,1.0
nomic-embed-text-v2-moe,Q-36,EXPLORATORY,0.2,0.3333333333333333,0.2192560461704936,0.25
nomic-embed-text-v1.5,Q-01,SINGLE_HOP,0.2,0.5,0.44412286644879784,0.5
nomic-embed-text-v1.5,Q-02,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
nomic-embed-text-v1.5,Q-03,SINGLE_HOP,0.5,1.0,0.9385574520455129,1.0
nomic-embed-text-v1.5,Q-04,SINGLE_HOP,0.5,0.6666666666666666,0.7338381252682711,1.0
nomic-embed-text-v1.5,Q-05,SINGLE_HOP,0.4,1.0,0.9060254355346823,1.0
nomic-embed-text-v1.5,Q-06,SINGLE_HOP,0.2,0.5,0.35195904451706733,0.3333333333333333
nomic-embed-text-v1.5,Q-07,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
nomic-embed-text-v1.5,Q-27,SINGLE_HOP,0.5,1.0,0.9385574520455129,1.0
nomic-embed-text-v1.5,Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0
nomic-embed-text-v1.5,Q-30,SINGLE_HOP,0.4,1.0,1.0,1.0
nomic-embed-text-v1.5,Q-34,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
nomic-embed-text-v1.5,Q-08,MULTI_HOP,0.6,1.0,0.8798581971190338,1.0
nomic-embed-text-v1.5,Q-09,MULTI_HOP,1.0,1.0,1.0,1.0
nomic-embed-text-v1.5,Q-10,MULTI_HOP,0.5,0.6666666666666666,0.7283528197476834,1.0
nomic-embed-text-v1.5,Q-11,MULTI_HOP,0.4,0.6666666666666666,0.7232329748419101,1.0
nomic-embed-text-v1.5,Q-12,MULTI_HOP,0.5,0.6666666666666666,0.8303010754742701,1.0
nomic-embed-text-v1.5,Q-29,MULTI_HOP,0.6,1.0,0.9777813616305049,1.0
nomic-embed-text-v1.5,Q-31,MULTI_HOP,0.75,1.0,1.0,1.0
nomic-embed-text-v1.5,Q-35,MULTI_HOP,0.6,1.0,1.0,1.0
nomic-embed-text-v1.5,Q-13,AUTHORITY,0.0,0.0,0.0,0.0
nomic-embed-text-v1.5,Q-14,AUTHORITY,0.4,1.0,0.8212377705398237,1.0
nomic-embed-text-v1.5,Q-15,AUTHORITY,0.5,1.0,1.0,1.0
nomic-embed-text-v1.5,Q-16,AUTHORITY,0.75,1.0,0.9049765583210164,1.0
nomic-embed-text-v1.5,Q-17,AUTHORITY,0.3333333333333333,0.5,0.7039180890341347,1.0
nomic-embed-text-v1.5,Q-18,TEMPORAL,0.2,0.5,0.272312688806029,0.2
nomic-embed-text-v1.5,Q-19,TEMPORAL,0.5,1.0,0.9134015924715543,1.0
nomic-embed-text-v1.5,Q-20,TEMPORAL,0.4,1.0,0.9385574520455129,1.0
nomic-embed-text-v1.5,Q-21,TEMPORAL,0.4,1.0,0.9385574520455129,1.0
nomic-embed-text-v1.5,Q-22,TEMPORAL,0.4,1.0,0.7415914148287854,1.0
nomic-embed-text-v1.5,Q-23,TEMPORAL,0.2,1.0,0.8710785440003369,1.0
nomic-embed-text-v1.5,Q-24,EXPLORATORY,0.0,0.25,0.0987048583622671,0.14285714285714285
nomic-embed-text-v1.5,Q-25,EXPLORATORY,0.2,0.25,0.4441718626302019,1.0
nomic-embed-text-v1.5,Q-26,EXPLORATORY,0.2,0.6666666666666666,0.32142497919881907,0.25
nomic-embed-text-v1.5,Q-32,EXPLORATORY,0.2,0.25,0.2961145750868013,1.0
nomic-embed-text-v1.5,Q-33,EXPLORATORY,0.4,0.6666666666666666,0.8303010754742701,1.0
nomic-embed-text-v1.5,Q-36,EXPLORATORY,0.4,0.6666666666666666,0.7636451603657846,1.0
BAAI/bge-m3,Q-01,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-02,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-03,SINGLE_HOP,0.6666666666666666,1.0,1.0,1.0
BAAI/bge-m3,Q-04,SINGLE_HOP,0.4,0.6666666666666666,0.7601875334318685,1.0
BAAI/bge-m3,Q-05,SINGLE_HOP,0.4,1.0,0.9060254355346823,1.0
BAAI/bge-m3,Q-06,SINGLE_HOP,0.2,0.5,0.44412286644879784,0.5
BAAI/bge-m3,Q-07,SINGLE_HOP,0.25,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-27,SINGLE_HOP,0.6666666666666666,1.0,1.0,1.0
BAAI/bge-m3,Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0
BAAI/bge-m3,Q-30,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-34,SINGLE_HOP,0.2,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-08,MULTI_HOP,0.6,1.0,0.8798581971190338,1.0
BAAI/bge-m3,Q-09,MULTI_HOP,0.75,1.0,1.0,1.0
BAAI/bge-m3,Q-10,MULTI_HOP,0.2,0.6666666666666666,0.6904407032588902,1.0
BAAI/bge-m3,Q-11,MULTI_HOP,0.4,0.6666666666666666,0.7232329748419101,1.0
BAAI/bge-m3,Q-12,MULTI_HOP,0.6,1.0,0.9764717729212657,1.0
BAAI/bge-m3,Q-29,MULTI_HOP,0.6,1.0,0.9777813616305049,1.0
BAAI/bge-m3,Q-31,MULTI_HOP,1.0,1.0,1.0,1.0
BAAI/bge-m3,Q-35,MULTI_HOP,0.6,1.0,0.9151505377371351,1.0
BAAI/bge-m3,Q-13,AUTHORITY,0.0,0.0,0.0,0.0
BAAI/bge-m3,Q-14,AUTHORITY,0.4,1.0,0.8212377705398237,1.0
BAAI/bge-m3,Q-15,AUTHORITY,0.6666666666666666,1.0,1.0,1.0
BAAI/bge-m3,Q-16,AUTHORITY,0.6,1.0,0.9298593499260985,1.0
BAAI/bge-m3,Q-17,AUTHORITY,0.3333333333333333,0.5,0.7039180890341347,1.0
BAAI/bge-m3,Q-18,TEMPORAL,0.0,0.5,0.2507406824493034,0.16666666666666666
BAAI/bge-m3,Q-19,TEMPORAL,0.6666666666666666,1.0,0.9134015924715543,1.0
BAAI/bge-m3,Q-20,TEMPORAL,0.2,1.0,0.5191194994832696,0.3333333333333333
BAAI/bge-m3,Q-21,TEMPORAL,0.2,1.0,0.8519590445170673,1.0
BAAI/bge-m3,Q-22,TEMPORAL,0.4,1.0,0.9134015924715543,1.0
BAAI/bge-m3,Q-23,TEMPORAL,0.2,1.0,0.6005491084563833,0.5
BAAI/bge-m3,Q-24,EXPLORATORY,0.0,0.0,0.0,0.0
BAAI/bge-m3,Q-25,EXPLORATORY,0.2,0.25,0.4441718626302019,1.0
BAAI/bge-m3,Q-26,EXPLORATORY,0.2,0.6666666666666666,0.3510428542074303,0.3333333333333333
BAAI/bge-m3,Q-32,EXPLORATORY,0.2,0.25,0.1868274958884324,0.5
BAAI/bge-m3,Q-33,EXPLORATORY,0.5,0.6666666666666666,0.8303010754742701,1.0
BAAI/bge-m3,Q-36,EXPLORATORY,0.2,0.6666666666666666,0.37828944569408407,0.2
