query_id,query_type,delta_p5,delta_r10,delta_ndcg,delta_mrr,improved,degraded,all_metrics_improved
Q-01,SINGLE_HOP,0.39999999999999997,1.0,0.8624507299339317,0.5,True,False,True
Q-02,SINGLE_HOP,0.0,0.0,-0.0907708962686763,0.0,False,True,False
Q-03,SINGLE_HOP,-0.3,-0.5,-0.3254102592800544,0.0,False,True,False
Q-04,SINGLE_HOP,0.09999999999999998,0.6666666666666666,0.40181384816417665,0.0,True,False,True
Q-05,SINGLE_HOP,-0.2,-0.5,-0.29287824276922403,0.0,False,True,False
Q-06,SINGLE_HOP,0.0,0.0,-0.04538544813433809,0.0,False,True,False
Q-07,SINGLE_HOP,0.0,0.0,-0.0907708962686763,0.0,False,True,False
Q-27,SINGLE_HOP,-0.09999999999999998,0.0,0.061442547954487226,0.0,True,True,False
Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-30,SINGLE_HOP,-0.2,-0.5,-0.38685280723454163,0.0,False,True,False
Q-34,SINGLE_HOP,-0.04999999999999999,0.0,-0.0907708962686763,0.0,False,True,False
Q-08,MULTI_HOP,0.0,0.0,0.0876097863701355,0.0,True,False,True
Q-09,MULTI_HOP,-0.4,0.0,0.0,0.0,False,True,False
Q-10,MULTI_HOP,-0.09999999999999998,0.0,0.03700781724093827,0.0,True,True,False
Q-11,MULTI_HOP,0.0,0.33333333333333337,0.20928811711291384,0.0,True,False,True
Q-12,MULTI_HOP,0.30000000000000004,0.6666666666666666,0.3718062710262773,0.0,True,False,True
Q-29,MULTI_HOP,0.4,0.6666666666666667,0.40586777740739544,0.0,True,False,True
Q-31,MULTI_HOP,0.050000000000000044,0.33333333333333326,0.2021073465005474,0.0,True,False,True
Q-35,MULTI_HOP,-0.19999999999999996,-0.33333333333333337,-0.29608191096586534,0.0,False,True,False
Q-13,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-14,AUTHORITY,0.19999999999999996,0.5,0.3625511411809548,0.0,True,False,True
Q-15,AUTHORITY,-0.09999999999999998,0.0,0.0,0.0,False,True,False
Q-16,AUTHORITY,-0.15000000000000002,0.0,0.09502344167898358,0.0,True,True,False
Q-17,AUTHORITY,-0.1333333333333333,0.0,-0.0907708962686763,0.0,False,True,False
Q-18,TEMPORAL,0.2,0.5,0.6049026265320203,0.8,True,False,True
Q-19,TEMPORAL,-0.09999999999999998,0.0,0.08659840752844561,0.0,True,True,False
Q-20,TEMPORAL,0.0,0.5,0.13019489030740605,0.0,True,False,True
Q-21,TEMPORAL,0.19999999999999996,1.0,0.5170476975419479,0.0,True,False,True
Q-22,TEMPORAL,0.19999999999999996,0.5,0.564982181553944,0.0,True,False,True
Q-23,TEMPORAL,0.39999999999999997,0.5,-0.06323911227572065,-0.6666666666666667,True,True,False
Q-24,EXPLORATORY,0.0,-0.25,-0.0987048583622671,-0.1428571428571428,False,True,False
Q-25,EXPLORATORY,0.39999999999999997,0.5,0.38770060109868065,0.0,True,False,True
Q-26,EXPLORATORY,0.2,0.33333333333333337,0.23040814978235963,0.08333333333333331,True,False,True
Q-32,EXPLORATORY,0.2,0.5,0.3752381525253532,0.0,True,False,True
Q-33,EXPLORATORY,-0.2,0.0,-0.19386189448531144,0.0,False,True,False
Q-36,EXPLORATORY,0.19999999999999996,0.6666666666666666,0.25644315966107434,0.0,True,False,True
