,precision@5,recall@10,ndcg@10,mrr
Q-01,0.39999999999999997,1.0,0.8624507299339317,0.5
Q-02,0.0,0.0,-0.0907708962686763,0.0
Q-03,-0.3,-0.5,-0.3254102592800544,0.0
Q-04,0.09999999999999998,0.6666666666666666,0.40181384816417665,0.0
Q-05,-0.2,-0.5,-0.29287824276922403,0.0
Q-06,0.0,0.0,-0.04538544813433809,0.0
Q-07,0.0,0.0,-0.0907708962686763,0.0
Q-27,-0.09999999999999998,0.0,0.061442547954487226,0.0
Q-28,0.0,0.0,0.0,0.0
Q-30,-0.2,-0.5,-0.38685280723454163,0.0
Q-34,-0.04999999999999999,0.0,-0.0907708962686763,0.0
Q-08,0.0,0.0,0.0876097863701355,0.0
Q-09,-0.4,0.0,0.0,0.0
Q-10,-0.09999999999999998,0.0,0.03700781724093827,0.0
Q-11,0.0,0.33333333333333337,0.20928811711291384,0.0
Q-12,0.30000000000000004,0.6666666666666666,0.3718062710262773,0.0
Q-29,0.4,0.6666666666666667,0.40586777740739544,0.0
Q-31,0.050000000000000044,0.33333333333333326,0.2021073465005474,0.0
Q-35,-0.19999999999999996,-0.33333333333333337,-0.29608191096586534,0.0
Q-13,0.0,0.0,0.0,0.0
Q-14,0.19999999999999996,0.5,0.3625511411809548,0.0
Q-15,-0.09999999999999998,0.0,0.0,0.0
Q-16,-0.15000000000000002,0.0,0.09502344167898358,0.0
Q-17,-0.1333333333333333,0.0,-0.0907708962686763,0.0
Q-18,0.2,0.5,0.6049026265320203,0.8
Q-19,-0.09999999999999998,0.0,0.08659840752844561,0.0
Q-20,0.0,0.5,0.13019489030740605,0.0
Q-21,0.19999999999999996,1.0,0.5170476975419479,0.0
Q-22,0.19999999999999996,0.5,0.564982181553944,0.0
Q-23,0.39999999999999997,0.5,-0.06323911227572065,-0.6666666666666667
Q-24,0.0,-0.25,-0.0987048583622671,-0.1428571428571428
Q-25,0.39999999999999997,0.5,0.38770060109868065,0.0
Q-26,0.2,0.33333333333333337,0.23040814978235963,0.08333333333333331
Q-32,0.2,0.5,0.3752381525253532,0.0
Q-33,-0.2,0.0,-0.19386189448531144,0.0
Q-36,0.19999999999999996,0.6666666666666666,0.25644315966107434,0.0
