query_id,query_type,delta_p5,delta_r10,delta_ndcg,delta_mrr,improved,degraded,all_metrics_improved
Q-01,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-01,SINGLE_HOP,-0.2,-0.5,-0.4441228664487978,-0.5,False,True,False
Q-01,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-02,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-02,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-02,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-03,SINGLE_HOP,-0.6666666666666666,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-03,SINGLE_HOP,-0.5,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-03,SINGLE_HOP,-0.6666666666666666,-1.0,-1.0,-1.0,False,True,False
Q-04,SINGLE_HOP,-0.5,-0.6666666666666666,-0.7601875334318685,-1.0,False,True,False
Q-04,SINGLE_HOP,-0.5,-0.6666666666666666,-0.7338381252682711,-1.0,False,True,False
Q-04,SINGLE_HOP,-0.4,-0.6666666666666666,-0.7601875334318685,-1.0,False,True,False
Q-05,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-05,SINGLE_HOP,-0.4,-1.0,-0.9060254355346824,-1.0,False,True,False
Q-05,SINGLE_HOP,-0.4,-1.0,-0.9060254355346824,-1.0,False,True,False
Q-06,SINGLE_HOP,-0.2,-0.5,-0.4441228664487978,-0.5,False,True,False
Q-06,SINGLE_HOP,-0.2,-0.5,-0.3519590445170673,-0.3333333333333333,False,True,False
Q-06,SINGLE_HOP,-0.2,-0.5,-0.4441228664487978,-0.5,False,True,False
Q-07,SINGLE_HOP,-1.0,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-07,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-07,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-27,SINGLE_HOP,-0.6666666666666666,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-27,SINGLE_HOP,-0.5,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-27,SINGLE_HOP,-0.6666666666666666,-1.0,-1.0,-1.0,False,True,False
Q-28,SINGLE_HOP,-0.2,-1.0,-0.5307212739772434,-0.5,False,True,False
Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-30,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-30,SINGLE_HOP,-0.4,-1.0,-1.0,-1.0,False,True,False
Q-30,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-34,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-34,SINGLE_HOP,-0.25,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-34,SINGLE_HOP,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-08,MULTI_HOP,-0.6,-1.0,-0.9424890210124036,-1.0,False,True,False
Q-08,MULTI_HOP,-0.6,-1.0,-0.8798581971190338,-1.0,False,True,False
Q-08,MULTI_HOP,-0.6,-1.0,-0.8798581971190338,-1.0,False,True,False
Q-09,MULTI_HOP,-1.0,-1.0,-0.9777813616305048,-1.0,False,True,False
Q-09,MULTI_HOP,-1.0,-1.0,-1.0,-1.0,False,True,False
Q-09,MULTI_HOP,-0.75,-1.0,-1.0,-1.0,False,True,False
Q-10,MULTI_HOP,-0.4,-0.6666666666666666,-0.7060422895895734,-1.0,False,True,False
Q-10,MULTI_HOP,-0.5,-0.6666666666666666,-0.7283528197476834,-1.0,False,True,False
Q-10,MULTI_HOP,-0.2,-0.6666666666666666,-0.6904407032588902,-1.0,False,True,False
Q-11,MULTI_HOP,-0.6666666666666666,-0.6666666666666666,-0.7232329748419101,-1.0,False,True,False
Q-11,MULTI_HOP,-0.4,-0.6666666666666666,-0.7232329748419101,-1.0,False,True,False
Q-11,MULTI_HOP,-0.4,-0.6666666666666666,-0.7232329748419101,-1.0,False,True,False
Q-12,MULTI_HOP,-0.4,-0.6666666666666666,-0.8303010754742701,-1.0,False,True,False
Q-12,MULTI_HOP,-0.5,-0.6666666666666666,-0.8303010754742701,-1.0,False,True,False
Q-12,MULTI_HOP,-0.6,-1.0,-0.9764717729212656,-1.0,False,True,False
Q-29,MULTI_HOP,-0.6,-1.0,-0.9777813616305048,-1.0,False,True,False
Q-29,MULTI_HOP,-0.6,-1.0,-0.9777813616305048,-1.0,False,True,False
Q-29,MULTI_HOP,-0.6,-1.0,-0.9777813616305048,-1.0,False,True,False
Q-31,MULTI_HOP,-0.75,-1.0,-1.0,-1.0,False,True,False
Q-31,MULTI_HOP,-0.75,-1.0,-1.0,-1.0,False,True,False
Q-31,MULTI_HOP,-1.0,-1.0,-1.0,-1.0,False,True,False
Q-35,MULTI_HOP,-0.6,-1.0,-1.0,-1.0,False,True,False
Q-35,MULTI_HOP,-0.6,-1.0,-1.0,-1.0,False,True,False
Q-35,MULTI_HOP,-0.6,-1.0,-0.9151505377371352,-1.0,False,True,False
Q-13,AUTHORITY,0.0,-0.5,-0.1671604549662022,-0.1666666666666666,False,True,False
Q-13,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-13,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-14,AUTHORITY,-0.4,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-14,AUTHORITY,-0.4,-1.0,-0.8212377705398237,-1.0,False,True,False
Q-14,AUTHORITY,-0.4,-1.0,-0.8212377705398237,-1.0,False,True,False
Q-15,AUTHORITY,-0.6666666666666666,-1.0,-1.0,-1.0,False,True,False
Q-15,AUTHORITY,-0.5,-1.0,-1.0,-1.0,False,True,False
Q-15,AUTHORITY,-0.6666666666666666,-1.0,-1.0,-1.0,False,True,False
Q-16,AUTHORITY,-0.6,-1.0,-0.9298593499260984,-1.0,False,True,False
Q-16,AUTHORITY,-0.75,-1.0,-0.9049765583210164,-1.0,False,True,False
Q-16,AUTHORITY,-0.6,-1.0,-0.9298593499260984,-1.0,False,True,False
Q-17,AUTHORITY,-0.5,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-17,AUTHORITY,-0.3333333333333333,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-17,AUTHORITY,-0.3333333333333333,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-18,TEMPORAL,0.0,0.0,0.0,0.0,False,False,True
Q-18,TEMPORAL,-0.2,-0.5,-0.272312688806029,-0.2,False,True,False
Q-18,TEMPORAL,0.0,-0.5,-0.2507406824493034,-0.1666666666666666,False,True,False
Q-19,TEMPORAL,-0.6666666666666666,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-19,TEMPORAL,-0.5,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-19,TEMPORAL,-0.6666666666666666,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-20,TEMPORAL,-0.3333333333333333,-0.5,-0.2960819109658652,-0.5,False,True,False
Q-20,TEMPORAL,-0.4,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-20,TEMPORAL,-0.2,-1.0,-0.5191194994832696,-0.3333333333333333,False,True,False
Q-21,TEMPORAL,-0.2,-0.5,-0.7039180890341347,-1.0,False,True,False
Q-21,TEMPORAL,-0.4,-1.0,-0.9385574520455128,-1.0,False,True,False
Q-21,TEMPORAL,-0.2,-1.0,-0.8519590445170673,-1.0,False,True,False
Q-22,TEMPORAL,-0.5,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-22,TEMPORAL,-0.4,-1.0,-0.7415914148287854,-1.0,False,True,False
Q-22,TEMPORAL,-0.4,-1.0,-0.9134015924715544,-1.0,False,True,False
Q-23,TEMPORAL,-0.4,-1.0,-0.7415914148287854,-1.0,False,True,False
Q-23,TEMPORAL,-0.2,-1.0,-0.8710785440003369,-1.0,False,True,False
Q-23,TEMPORAL,-0.2,-1.0,-0.6005491084563833,-0.5,False,True,False
Q-24,EXPLORATORY,0.0,0.0,0.0,0.0,False,False,True
Q-24,EXPLORATORY,0.0,-0.25,-0.0987048583622671,-0.1428571428571428,False,True,False
Q-24,EXPLORATORY,0.0,0.0,0.0,0.0,False,False,True
Q-25,EXPLORATORY,-0.4,-0.5,-0.5717014686239509,-1.0,False,True,False
Q-25,EXPLORATORY,-0.2,-0.25,-0.4441718626302019,-1.0,False,True,False
Q-25,EXPLORATORY,-0.2,-0.25,-0.4441718626302019,-1.0,False,True,False
Q-26,EXPLORATORY,0.0,-0.3333333333333333,-0.1131326163504866,-0.1428571428571428,False,True,False
Q-26,EXPLORATORY,-0.2,-0.6666666666666666,-0.321424979198819,-0.25,False,True,False
Q-26,EXPLORATORY,-0.2,-0.6666666666666666,-0.3510428542074303,-0.3333333333333333,False,True,False
Q-32,EXPLORATORY,-0.2,-0.25,-0.1480572875434006,-0.3333333333333333,False,True,False
Q-32,EXPLORATORY,-0.2,-0.25,-0.2961145750868013,-1.0,False,True,False
Q-32,EXPLORATORY,-0.2,-0.25,-0.1868274958884324,-0.5,False,True,False
Q-33,EXPLORATORY,-0.5,-0.6666666666666666,-0.8303010754742701,-1.0,False,True,False
Q-33,EXPLORATORY,-0.4,-0.6666666666666666,-0.8303010754742701,-1.0,False,True,False
Q-33,EXPLORATORY,-0.5,-0.6666666666666666,-0.8303010754742701,-1.0,False,True,False
Q-36,EXPLORATORY,-0.2,-0.3333333333333333,-0.2192560461704936,-0.25,False,True,False
Q-36,EXPLORATORY,-0.4,-0.6666666666666666,-0.7636451603657846,-1.0,False,True,False
Q-36,EXPLORATORY,-0.2,-0.6666666666666666,-0.378289445694084,-0.2,False,True,False
