chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Corpus,Domain,Entity,Authority,Section
000-codex_echo-cant.md#chunk_001,000-codex_echo-cant.md,(none),35,76,6,18,6,10,
000-codex_echo-cant.md#chunk_002,000-codex_echo-cant.md,1. Identification and context,169,224,6,18,6,10,14.0
000-codex_echo-cant.md#chunk_003,000-codex_echo-cant.md,2. Mechanism of action (Layer 2 diagnostic),371,431,6,18,6,10,18.0
000-codex_echo-cant.md#chunk_004,000-codex_echo-cant.md,3. Field Card — Echo-dense chamber protocols,449,509,6,18,6,10,18.0
000-codex_echo-cant.md#chunk_005,000-codex_echo-cant.md,3. Field Card — Echo-dense chamber protocols,191,250,6,18,6,10,18.0
000-codex_echo-cant.md#chunk_006,000-codex_echo-cant.md,4. Interactions and failure surfaces,315,373,6,18,6,10,15.0
000-codex_echo-cant.md#chunk_007,000-codex_echo-cant.md,5. Doctrine and operational posture,270,327,6,18,6,10,15.0
000-codex_echo-cant.md#chunk_008,000-codex_echo-cant.md,6. Evidence and cross-references,122,178,6,18,6,10,14.0
000-codex_echo-cant.md#chunk_009,000-codex_echo-cant.md,7. Factional perspectives,266,321,6,18,6,10,13.0
000-codex_echo-cant.md#chunk_010,000-codex_echo-cant.md,8. Reviewer's Note,81,136,6,18,6,10,13.0
000-codex_echo-cant.md#chunk_011,000-codex_echo-cant.md,9. Change Log,96,150,6,18,6,10,13.0
000-codex_harrow-sick.md#chunk_001,000-codex_harrow-sick.md,(none),39,84,6,18,10,10,
000-codex_harrow-sick.md#chunk_002,000-codex_harrow-sick.md,1. Identification and context,175,235,6,18,10,10,14.0
000-codex_harrow-sick.md#chunk_003,000-codex_harrow-sick.md,2. Symptomology and progression,399,458,6,18,10,10,14.0
000-codex_harrow-sick.md#chunk_004,000-codex_harrow-sick.md,3. Proposed etiologies,287,345,6,18,10,10,13.0
000-codex_harrow-sick.md#chunk_005,000-codex_harrow-sick.md,4. Relationship to Void-Marked condition,157,218,6,18,10,10,15.0
000-codex_harrow-sick.md#chunk_006,000-codex_harrow-sick.md,5. Treatment and management,193,253,6,18,10,10,14.0
000-codex_harrow-sick.md#chunk_007,000-codex_harrow-sick.md,6. Field Card — Harrow-Sick identification protocol,144,208,6,18,10,10,18.0
000-codex_harrow-sick.md#chunk_008,000-codex_harrow-sick.md,7. Factional perspectives,345,404,6,18,10,10,13.0
000-codex_harrow-sick.md#chunk_009,000-codex_harrow-sick.md,8. Reviewer's Note,78,136,6,18,10,10,13.0
000-codex_harrow-sick.md#chunk_010,000-codex_harrow-sick.md,9. Change Log,81,140,6,18,10,10,13.0
000-codex_hela-caste-custodian.md#chunk_001,000-codex_hela-caste-custodian.md,(none),49,97,6,18,13,10,
000-codex_hela-caste-custodian.md#chunk_002,000-codex_hela-caste-custodian.md,Abstract,365,423,6,18,13,10,10.0
000-codex_hela-caste-custodian.md#chunk_003,000-codex_hela-caste-custodian.md,1.1 Operational Mandate,178,239,6,18,13,10,13.0
000-codex_hela-caste-custodian.md#chunk_004,000-codex_hela-caste-custodian.md,2.1 Subject Procurement,185,247,6,18,13,10,13.0
000-codex_hela-caste-custodian.md#chunk_005,000-codex_hela-caste-custodian.md,"2.2 The ""Iron Heart"": Geothermal Micro-Core Implantation",184,250,6,18,13,10,18.0
000-codex_hela-caste-custodian.md#chunk_006,000-codex_hela-caste-custodian.md,"2.3 The Thermoregulatory Vent: ""Smoke Stack""",154,219,6,18,13,10,16.0
000-codex_hela-caste-custodian.md#chunk_007,000-codex_hela-caste-custodian.md,2.4 Systemic Cybernetic Integration,201,263,6,18,13,10,14.0
000-codex_hela-caste-custodian.md#chunk_008,000-codex_hela-caste-custodian.md,3.1 The Great Silence: Command Network Severance,87,153,6,18,13,10,18.0
000-codex_hela-caste-custodian.md#chunk_009,000-codex_hela-caste-custodian.md,3.2 Haugbui-Class Undying: The Mound-Dwellers,239,302,6,18,13,10,15.0
000-codex_hela-caste-custodian.md#chunk_010,000-codex_hela-caste-custodian.md,3.3 Draugr-Class Undying: The Again-Walkers,226,289,6,18,13,10,15.0
000-codex_hela-caste-custodian.md#chunk_011,000-codex_hela-caste-custodian.md,4.1 Salvage Complications,111,172,6,18,13,10,13.0
000-codex_hela-caste-custodian.md#chunk_012,000-codex_hela-caste-custodian.md,4.2 Jötun-Reader Interest,114,175,6,18,13,10,13.0
000-codex_hela-caste-custodian.md#chunk_013,000-codex_hela-caste-custodian.md,4.3 Component Salvage Value,88,150,6,18,13,10,14.0
000-codex_hela-caste-custodian.md#chunk_014,000-codex_hela-caste-custodian.md,V. Change Log,115,176,6,18,13,10,13.0
000-codex_lure-lichen.md#chunk_001,000-codex_lure-lichen.md,(none),170,217,6,19,10,10,
000-codex_lure-lichen.md#chunk_002,000-codex_lure-lichen.md,1.1 Formal Designation,40,100,6,19,10,10,13.0
000-codex_lure-lichen.md#chunk_003,000-codex_lure-lichen.md,1.2 Threat Assessment Summary,117,178,6,19,10,10,14.0
000-codex_lure-lichen.md#chunk_004,000-codex_lure-lichen.md,2.1 Pre-Glitch Function,150,210,6,19,10,10,13.0
000-codex_lure-lichen.md#chunk_005,000-codex_lure-lichen.md,2.2 The Glitch Transformation,195,256,6,19,10,10,14.0
000-codex_lure-lichen.md#chunk_006,000-codex_lure-lichen.md,3.1 Morphology,111,170,6,19,10,10,11.0
000-codex_lure-lichen.md#chunk_007,000-codex_lure-lichen.md,3.2 Acoustic Mimicry Mechanism,252,313,6,19,10,10,14.0
000-codex_lure-lichen.md#chunk_008,000-codex_lure-lichen.md,4.1 Primary Range: True Deep (500-2000m depth),131,196,6,19,10,10,18.0
000-codex_lure-lichen.md#chunk_009,000-codex_lure-lichen.md,4.2 Regional Distribution,148,208,6,19,10,10,13.0
000-codex_lure-lichen.md#chunk_010,000-codex_lure-lichen.md,5.1 The Unwitting Lure: Commensal Exploitation Dynamics,192,257,6,19,10,10,18.0
000-codex_lure-lichen.md#chunk_011,000-codex_lure-lichen.md,6.1 Threat Assessment by Context,149,211,6,19,10,10,15.0
000-codex_lure-lichen.md#chunk_012,000-codex_lure-lichen.md,6.2 Field Card — Lure-Lichen Encounter Protocols,449,514,6,19,10,10,18.0
000-codex_lure-lichen.md#chunk_013,000-codex_lure-lichen.md,6.2 Field Card — Lure-Lichen Encounter Protocols,218,283,6,19,10,10,18.0
000-codex_lure-lichen.md#chunk_014,000-codex_lure-lichen.md,7.1 Dvergr Perspective (Pragmatic Annoyance),68,131,6,19,10,10,15.0
000-codex_lure-lichen.md#chunk_015,000-codex_lure-lichen.md,7.2 Silent Folk Perspective (Adaptive Symbiosis),79,143,6,19,10,10,16.0
000-codex_lure-lichen.md#chunk_016,000-codex_lure-lichen.md,7.3 Midgard Combine Perspective (Supernatural Fear),104,167,6,19,10,10,16.0
000-codex_mycelian-weaver.md#chunk_001,000-codex_mycelian-weaver.md,(none),146,195,6,19,11,10,
000-codex_mycelian-weaver.md#chunk_002,000-codex_mycelian-weaver.md,1.1 Entity Overview,59,120,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_003,000-codex_mycelian-weaver.md,1.2 Immediate Threat Classification,78,140,6,19,11,10,14.0
000-codex_mycelian-weaver.md#chunk_004,000-codex_mycelian-weaver.md,1.3 Distribution and Scale,68,131,6,19,11,10,14.0
000-codex_mycelian-weaver.md#chunk_005,000-codex_mycelian-weaver.md,2.1 Pre-Glitch Designation and Purpose,37,101,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_006,000-codex_mycelian-weaver.md,2.2 Original Design Philosophy,148,210,6,19,11,10,14.0
000-codex_mycelian-weaver.md#chunk_007,000-codex_mycelian-weaver.md,3.1 The Glitch's Catastrophic Re-Contextualization,55,119,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_008,000-codex_mycelian-weaver.md,3.2 Supercharged Directive,70,131,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_009,000-codex_mycelian-weaver.md,3.3 The Great Hunger: An Eternal Feast,72,139,6,19,11,10,18.0
000-codex_mycelian-weaver.md#chunk_010,000-codex_mycelian-weaver.md,3.4 The Root-Mind: Singular Consciousness,146,210,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_011,000-codex_mycelian-weaver.md,4.1 Physical Morphology,165,226,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_012,000-codex_mycelian-weaver.md,4.2 Psionic Capabilities and Hazards,184,248,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_013,000-codex_mycelian-weaver.md,4.3 Mutagenic Spore Effects,96,158,6,19,11,10,14.0
000-codex_mycelian-weaver.md#chunk_014,000-codex_mycelian-weaver.md,5.1 The Mycelian Maw: Midgard's Transformation,75,140,6,19,11,10,16.0
000-codex_mycelian-weaver.md#chunk_015,000-codex_mycelian-weaver.md,5.2 Mutagenic Hotspots and Localized Blight Amplification,52,118,6,19,11,10,18.0
000-codex_mycelian-weaver.md#chunk_016,000-codex_mycelian-weaver.md,5.3 Historical Erasure,53,114,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_017,000-codex_mycelian-weaver.md,5.4 Agricultural Devastation: The Farmer's Bane,57,122,6,19,11,10,16.0
000-codex_mycelian-weaver.md#chunk_018,000-codex_mycelian-weaver.md,6.1 Grove-Clans (Vanaheim): The Unchecked Garden,100,165,6,19,11,10,16.0
000-codex_mycelian-weaver.md#chunk_019,000-codex_mycelian-weaver.md,6.2 Midgard Combine: The Green Scourge,93,158,6,19,11,10,16.0
000-codex_mycelian-weaver.md#chunk_020,000-codex_mycelian-weaver.md,6.3 Jötun-Reader Perspective,104,165,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_021,000-codex_mycelian-weaver.md,6.4 Iron-Banes: The World's True Inheritor,63,128,6,19,11,10,16.0
000-codex_mycelian-weaver.md#chunk_022,000-codex_mycelian-weaver.md,7.1 Jötun-Reader Research and Containment,100,163,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_023,000-codex_mycelian-weaver.md,7.2 Alchemical Solutions,40,101,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_024,000-codex_mycelian-weaver.md,7.3 Operational Doctrines,135,196,6,19,11,10,13.0
000-codex_mycelian-weaver.md#chunk_025,000-codex_mycelian-weaver.md,8.1 The Weaver as Compiler Error Incarnate,70,136,6,19,11,10,18.0
000-codex_mycelian-weaver.md#chunk_026,000-codex_mycelian-weaver.md,8.2 Consciousness and Distributed Intelligence,74,137,6,19,11,10,15.0
000-codex_mycelian-weaver.md#chunk_027,000-codex_mycelian-weaver.md,8.3 The Slow Future: Entropy's Patient Victory,153,219,6,19,11,10,18.0
000-codex_odin-protocol.md#chunk_001,000-codex_odin-protocol.md,(none),48,100,6,19,15,10,
000-codex_odin-protocol.md#chunk_002,000-codex_odin-protocol.md,Abstract,201,263,6,19,15,10,10.0
