pair_label,metric,statistic,pvalue,significant,effect_size,effect_magnitude,n_nonzero
D-23 MULTI-LAYER vs D-21 BASELINE,P@5,0.0,8.901352835871015e-18,True,1.0,large,97
D-23 MULTI-LAYER vs D-21 BASELINE,R@10,0.0,7.280975386417398e-19,True,1.0,large,101
D-23 MULTI-LAYER vs D-21 BASELINE,NDCG@10,0.0,2.459647304862785e-18,True,1.0,large,101
D-23 MULTI-LAYER vs D-21 BASELINE,MRR,0.0,7.656619372723551e-21,True,1.0,large,101
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,P@5,0.0,4.1204144927216555e-07,True,1.0,large,33
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,R@10,0.0,4.753606111908725e-07,True,1.0,large,33
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,NDCG@10,0.0,5.174015971566556e-07,True,1.0,large,33
D-23 MULTI-LAYER vs D-22 SINGLE-LAYER,MRR,0.0,3.1442920946823196e-08,True,1.0,large,33
D-22 SINGLE-LAYER vs D-21 BASELINE,P@5,1494.0,0.193613304132905,False,0.1630252100840336,small,84
D-22 SINGLE-LAYER vs D-21 BASELINE,R@10,277.0,2.103519284659692e-06,True,0.6972677595628416,large,60
D-22 SINGLE-LAYER vs D-21 BASELINE,NDCG@10,1275.0,0.00011816682714148259,True,0.4523195876288659,medium,96
D-22 SINGLE-LAYER vs D-21 BASELINE,MRR,56.5,0.06958687516246376,False,0.46190476190476193,medium,20
