chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Corpus,Domain,Entity,Authority,Relationships,Section
000-codex_echo-cant.md#chunk_001,000-codex_echo-cant.md,(none),35,97,6,18,6,10,20,
000-codex_echo-cant.md#chunk_002,000-codex_echo-cant.md,1. Identification and context,169,245,6,18,6,10,20,14.0
000-codex_echo-cant.md#chunk_003,000-codex_echo-cant.md,2. Mechanism of action (Layer 2 diagnostic),371,452,6,18,6,10,20,18.0
000-codex_echo-cant.md#chunk_004,000-codex_echo-cant.md,3. Field Card — Echo-dense chamber protocols,591,672,6,18,6,10,20,18.0
000-codex_echo-cant.md#chunk_005,000-codex_echo-cant.md,4. Interactions and failure surfaces,315,393,6,18,6,10,20,15.0
000-codex_echo-cant.md#chunk_006,000-codex_echo-cant.md,5. Doctrine and operational posture,270,348,6,18,6,10,20,15.0
000-codex_echo-cant.md#chunk_007,000-codex_echo-cant.md,6. Evidence and cross-references,122,198,6,18,6,10,20,14.0
000-codex_echo-cant.md#chunk_008,000-codex_echo-cant.md,7. Factional perspectives,266,341,6,18,6,10,20,13.0
000-codex_echo-cant.md#chunk_009,000-codex_echo-cant.md,8. Reviewer's Note,81,157,6,18,6,10,20,13.0
000-codex_echo-cant.md#chunk_010,000-codex_echo-cant.md,9. Change Log,96,171,6,18,6,10,20,13.0
000-codex_harrow-sick.md#chunk_001,000-codex_harrow-sick.md,(none),39,98,6,18,10,10,14,
000-codex_harrow-sick.md#chunk_002,000-codex_harrow-sick.md,1. Identification and context,175,249,6,18,10,10,14,14.0
000-codex_harrow-sick.md#chunk_003,000-codex_harrow-sick.md,2. Symptomology and progression,399,473,6,18,10,10,14,14.0
000-codex_harrow-sick.md#chunk_004,000-codex_harrow-sick.md,3. Proposed etiologies,287,360,6,18,10,10,14,13.0
000-codex_harrow-sick.md#chunk_005,000-codex_harrow-sick.md,4. Relationship to Void-Marked condition,157,232,6,18,10,10,14,15.0
000-codex_harrow-sick.md#chunk_006,000-codex_harrow-sick.md,5. Treatment and management,193,267,6,18,10,10,14,14.0
000-codex_harrow-sick.md#chunk_007,000-codex_harrow-sick.md,6. Field Card — Harrow-Sick identification protocol,144,222,6,18,10,10,14,18.0
000-codex_harrow-sick.md#chunk_008,000-codex_harrow-sick.md,7. Factional perspectives,345,418,6,18,10,10,14,13.0
000-codex_harrow-sick.md#chunk_009,000-codex_harrow-sick.md,8. Reviewer's Note,78,150,6,18,10,10,14,13.0
000-codex_harrow-sick.md#chunk_010,000-codex_harrow-sick.md,9. Change Log,81,154,6,18,10,10,14,13.0
000-codex_hela-caste-custodian.md#chunk_001,000-codex_hela-caste-custodian.md,(none),49,120,6,18,13,10,23,
000-codex_hela-caste-custodian.md#chunk_002,000-codex_hela-caste-custodian.md,Abstract,365,447,6,18,13,10,23,10.0
000-codex_hela-caste-custodian.md#chunk_003,000-codex_hela-caste-custodian.md,1.1 Operational Mandate,178,262,6,18,13,10,23,13.0
000-codex_hela-caste-custodian.md#chunk_004,000-codex_hela-caste-custodian.md,2.1 Subject Procurement,185,270,6,18,13,10,23,13.0
000-codex_hela-caste-custodian.md#chunk_005,000-codex_hela-caste-custodian.md,"2.2 The ""Iron Heart"": Geothermal Micro-Core Implantation",184,274,6,18,13,10,23,18.0
000-codex_hela-caste-custodian.md#chunk_006,000-codex_hela-caste-custodian.md,"2.3 The Thermoregulatory Vent: ""Smoke Stack""",154,243,6,18,13,10,23,16.0
000-codex_hela-caste-custodian.md#chunk_007,000-codex_hela-caste-custodian.md,2.4 Systemic Cybernetic Integration,201,287,6,18,13,10,23,14.0
000-codex_hela-caste-custodian.md#chunk_008,000-codex_hela-caste-custodian.md,3.1 The Great Silence: Command Network Severance,87,176,6,18,13,10,23,18.0
000-codex_hela-caste-custodian.md#chunk_009,000-codex_hela-caste-custodian.md,3.2 Haugbui-Class Undying: The Mound-Dwellers,239,326,6,18,13,10,23,15.0
000-codex_hela-caste-custodian.md#chunk_010,000-codex_hela-caste-custodian.md,3.3 Draugr-Class Undying: The Again-Walkers,226,313,6,18,13,10,23,15.0
000-codex_hela-caste-custodian.md#chunk_011,000-codex_hela-caste-custodian.md,4.1 Salvage Complications,111,196,6,18,13,10,23,13.0
000-codex_hela-caste-custodian.md#chunk_012,000-codex_hela-caste-custodian.md,4.2 Jötun-Reader Interest,114,198,6,18,13,10,23,13.0
000-codex_hela-caste-custodian.md#chunk_013,000-codex_hela-caste-custodian.md,4.3 Component Salvage Value,88,174,6,18,13,10,23,14.0
000-codex_hela-caste-custodian.md#chunk_014,000-codex_hela-caste-custodian.md,V. Change Log,115,200,6,18,13,10,23,13.0
000-codex_lure-lichen.md#chunk_001,000-codex_lure-lichen.md,(none),170,239,6,19,10,10,22,
000-codex_lure-lichen.md#chunk_002,000-codex_lure-lichen.md,1.1 Formal Designation,40,122,6,19,10,10,22,13.0
000-codex_lure-lichen.md#chunk_003,000-codex_lure-lichen.md,1.2 Threat Assessment Summary,117,200,6,19,10,10,22,14.0
000-codex_lure-lichen.md#chunk_004,000-codex_lure-lichen.md,2.1 Pre-Glitch Function,150,232,6,19,10,10,22,13.0
000-codex_lure-lichen.md#chunk_005,000-codex_lure-lichen.md,2.2 The Glitch Transformation,195,278,6,19,10,10,22,14.0
000-codex_lure-lichen.md#chunk_006,000-codex_lure-lichen.md,3.1 Morphology,111,192,6,19,10,10,22,11.0
000-codex_lure-lichen.md#chunk_007,000-codex_lure-lichen.md,3.2 Acoustic Mimicry Mechanism,252,335,6,19,10,10,22,14.0
000-codex_lure-lichen.md#chunk_008,000-codex_lure-lichen.md,4.1 Primary Range: True Deep (500-2000m depth),131,218,6,19,10,10,22,18.0
