model,experiment,query_id,query_type,precision@5,recall@10,ndcg@10,mrr
v1.5,multi_layer,Q-01,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-02,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-03,SINGLE_HOP,0.2,1.0,0.9197207891481876,1.0
v1.5,multi_layer,Q-04,SINGLE_HOP,0.2,0.6666666666666666,0.7039180890341347,1.0
v1.5,multi_layer,Q-05,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-06,SINGLE_HOP,0.2,0.5,0.38685280723454163,0.5
v1.5,multi_layer,Q-07,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-27,SINGLE_HOP,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0
v1.5,multi_layer,Q-30,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-34,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-08,MULTI_HOP,0.6,1.0,1.0,1.0
v1.5,multi_layer,Q-09,MULTI_HOP,0.6,1.0,1.0,1.0
v1.5,multi_layer,Q-10,MULTI_HOP,0.2,0.6666666666666666,0.7039180890341347,1.0
v1.5,multi_layer,Q-11,MULTI_HOP,0.4,0.6666666666666666,0.7653606369886217,1.0
v1.5,multi_layer,Q-12,MULTI_HOP,0.4,0.6666666666666666,0.7653606369886217,1.0
v1.5,multi_layer,Q-29,MULTI_HOP,0.6,1.0,1.0,1.0
v1.5,multi_layer,Q-31,MULTI_HOP,0.6,1.0,1.0,1.0
v1.5,multi_layer,Q-35,MULTI_HOP,0.4,0.6666666666666666,0.7653606369886217,1.0
v1.5,multi_layer,Q-13,AUTHORITY,0.0,0.0,0.0,0.0
v1.5,multi_layer,Q-14,AUTHORITY,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-15,AUTHORITY,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-16,AUTHORITY,0.6,1.0,1.0,1.0
v1.5,multi_layer,Q-17,AUTHORITY,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-18,TEMPORAL,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-19,TEMPORAL,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-20,TEMPORAL,0.2,0.5,0.6131471927654584,1.0
v1.5,multi_layer,Q-21,TEMPORAL,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-22,TEMPORAL,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-23,TEMPORAL,0.4,1.0,1.0,1.0
v1.5,multi_layer,Q-24,EXPLORATORY,0.0,0.25,0.13905617951077562,0.1111111111111111
v1.5,multi_layer,Q-25,EXPLORATORY,0.4,0.75,0.7757386182436072,1.0
v1.5,multi_layer,Q-26,EXPLORATORY,0.2,0.6666666666666666,0.7039180890341347,1.0
v1.5,multi_layer,Q-32,EXPLORATORY,0.2,0.25,0.3903800499921017,1.0
v1.5,multi_layer,Q-33,EXPLORATORY,0.4,0.6666666666666666,0.7653606369886217,1.0
v1.5,multi_layer,Q-36,EXPLORATORY,0.4,0.6666666666666666,0.7653606369886217,1.0
