config,query_id,query_type_d24,precision@5_d24,recall@10_d24,ndcg@10_d24,mrr_d24,model,experiment,query_type_d22,precision@5_d22,recall@10_d22,ndcg@10_d22,mrr_d22,delta_precision@5,delta_recall@10,delta_ndcg@10,delta_mrr
domain_entity,Q-01,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.6,1.5,1.3065735963827294,1.0,-0.39999999999999997,-1.0,-0.693426403617271,0.0
domain_entity,Q-02,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
domain_entity,Q-03,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
domain_entity,Q-04,SINGLE_HOP,0.2,1.0,1.0,1.0,v1.5,single_layer,SINGLE_HOP,0.6,1.3333333333333333,1.1356519734324475,1.0,-0.39999999999999997,-0.33333333333333326,-0.1356519734324475,0.0
domain_entity,Q-05,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
domain_entity,Q-06,SINGLE_HOP,0.2,0.5,0.38685280723454163,0.3333333333333333,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.3065735963827292,0.3333333333333333,0.0,0.0,0.08027921085181244,0.0
domain_entity,Q-07,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
domain_entity,Q-27,SINGLE_HOP,0.4,1.0,1.0,1.0,v1.5,single_layer,SINGLE_HOP,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
domain_entity,Q-28,SINGLE_HOP,0.0,0.5,0.23719771276929622,0.1,v1.5,single_layer,SINGLE_HOP,0.0,0.0,0.0,0.0,0.0,0.5,0.23719771276929622,0.1
domain_entity,Q-30,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,SINGLE_HOP,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
