config,chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Domain,Entity,Authority,Section
raw,000-codex_echo-cant.md#chunk_001,000-codex_echo-cant.md,# Echo-Cant,32,32,,,,
raw,000-codex_echo-cant.md#chunk_002,000-codex_echo-cant.md,### 1. Identification and context,169,169,,,,
raw,000-codex_echo-cant.md#chunk_003,000-codex_echo-cant.md,### 2. Mechanism of action (Layer 2 diagnostic),371,371,,,,
raw,000-codex_echo-cant.md#chunk_004,000-codex_echo-cant.md,### 3. Field Card — Echo-dense chamber protocols,591,591,,,,
raw,000-codex_echo-cant.md#chunk_005,000-codex_echo-cant.md,### 4. Interactions and failure surfaces,315,315,,,,
raw,000-codex_echo-cant.md#chunk_006,000-codex_echo-cant.md,### 5. Doctrine and operational posture,392,392,,,,
raw,000-codex_echo-cant.md#chunk_007,000-codex_echo-cant.md,### 7. Factional perspectives,444,444,,,,
raw,000-codex_harrow-sick.md#chunk_001,000-codex_harrow-sick.md,# Harrow-Sick (Post-Glitch Degenerative Condition),32,32,,,,
raw,000-codex_harrow-sick.md#chunk_002,000-codex_harrow-sick.md,### 1. Identification and context,175,175,,,,
raw,000-codex_harrow-sick.md#chunk_003,000-codex_harrow-sick.md,### 2. Symptomology and progression,399,399,,,,
raw,000-codex_harrow-sick.md#chunk_004,000-codex_harrow-sick.md,### 3. Proposed etiologies,287,287,,,,
raw,000-codex_harrow-sick.md#chunk_005,000-codex_harrow-sick.md,### 4. Relationship to Void-Marked condition,157,157,,,,
raw,000-codex_harrow-sick.md#chunk_006,000-codex_harrow-sick.md,### 5. Treatment and management,193,193,,,,
raw,000-codex_harrow-sick.md#chunk_007,000-codex_harrow-sick.md,### 6. Field Card — Harrow-Sick identification protocol,144,144,,,,
raw,000-codex_harrow-sick.md#chunk_008,000-codex_harrow-sick.md,### 7. Factional perspectives,505,505,,,,
raw,000-codex_hela-caste-custodian.md#chunk_001,000-codex_hela-caste-custodian.md,# 💀 Hela-Caste Custodian Program (Huscarl-Class Bio-Augments),40,40,,,,
raw,000-codex_hela-caste-custodian.md#chunk_002,000-codex_hela-caste-custodian.md,## Abstract,365,365,,,,
