pair_label,metric,statistic,pvalue,significant,effect_size,effect_magnitude,n_nonzero
D-24 raw vs D-21,precision@5,,,False,,insufficient_data,0
D-24 raw vs D-21,recall@10,,,False,,insufficient_data,0
D-24 raw vs D-21,ndcg@10,,,False,,insufficient_data,0
D-24 raw vs D-21,mrr,,,False,,insufficient_data,0
D-24 domain_entity vs D-21,precision@5,,,False,,insufficient_data,0
D-24 domain_entity vs D-21,recall@10,,,False,,insufficient_data,0
D-24 domain_entity vs D-21,ndcg@10,,,False,,insufficient_data,0
D-24 domain_entity vs D-21,mrr,,,False,,insufficient_data,0
D-24 de_authority vs D-21,precision@5,,,False,,insufficient_data,0
D-24 de_authority vs D-21,recall@10,,,False,,insufficient_data,0
D-24 de_authority vs D-21,ndcg@10,,,False,,insufficient_data,0
D-24 de_authority vs D-21,mrr,,,False,,insufficient_data,0
D-24 de_section vs D-21,precision@5,,,False,,insufficient_data,0
D-24 de_section vs D-21,recall@10,,,False,,insufficient_data,0
D-24 de_section vs D-21,ndcg@10,,,False,,insufficient_data,0
D-24 de_section vs D-21,mrr,,,False,,insufficient_data,0
D-24 de_relationships vs D-21,precision@5,,,False,,insufficient_data,0
D-24 de_relationships vs D-21,recall@10,,,False,,insufficient_data,0
D-24 de_relationships vs D-21,ndcg@10,,,False,,insufficient_data,0
D-24 de_relationships vs D-21,mrr,,,False,,insufficient_data,0
D-24 raw vs D-22,precision@5,17.5,0.0028370005910807704,True,0.8976608187134503,large,18
D-24 raw vs D-22,recall@10,36.5,0.005391588576102003,True,0.841991341991342,large,21
D-24 raw vs D-22,ndcg@10,72.5,0.015446752847798985,True,0.7769230769230769,large,25
D-24 raw vs D-22,mrr,6.0,0.6858304344516057,False,0.6,large,5
D-24 domain_entity vs D-22,precision@5,9.5,0.0013547210648892506,True,0.9379084967320261,large,17
D-24 domain_entity vs D-22,recall@10,9.0,0.0012706965471169817,True,0.9411764705882353,large,17
D-24 domain_entity vs D-22,ndcg@10,42.5,0.006382128803838221,True,0.8320158102766798,large,22
D-24 domain_entity vs D-22,mrr,,,False,,insufficient_data,3
D-24 de_authority vs D-22,precision@5,8.5,0.0011687966122544116,True,0.9444444444444444,large,17
D-24 de_authority vs D-22,recall@10,9.0,0.0012706965471169817,True,0.9411764705882353,large,17
D-24 de_authority vs D-22,ndcg@10,37.5,0.00385458009890826,True,0.8517786561264822,large,22
D-24 de_authority vs D-22,mrr,,,False,,insufficient_data,3
D-24 de_section vs D-22,precision@5,7.5,0.0009938814856611574,True,0.9509803921568627,large,17
D-24 de_section vs D-22,recall@10,7.0,0.0014381202016217835,True,0.9485294117647058,large,16
D-24 de_section vs D-22,ndcg@10,44.5,0.007755470246364732,True,0.8241106719367589,large,22
D-24 de_section vs D-22,mrr,,,False,,insufficient_data,3
D-24 de_relationships vs D-22,precision@5,9.5,0.0013547210648892506,True,0.9379084967320261,large,17
D-24 de_relationships vs D-22,recall@10,9.0,0.0012706965471169817,True,0.9411764705882353,large,17
D-24 de_relationships vs D-22,ndcg@10,42.5,0.006382128803838221,True,0.8320158102766798,large,22
D-24 de_relationships vs D-22,mrr,,,False,,insufficient_data,3
D-24 domain_entity vs raw,precision@5,7.5,1.0,False,0.5,large,5
D-24 domain_entity vs raw,recall@10,11.5,0.3555541235292703,False,0.6805555555555556,large,8
D-24 domain_entity vs raw,ndcg@10,72.0,0.21755612003811897,False,0.6571428571428571,large,20
D-24 domain_entity vs raw,mrr,2.0,0.13621686984456766,False,0.8666666666666667,large,5
D-24 de_authority vs raw,precision@5,,,False,,insufficient_data,4
D-24 de_authority vs raw,recall@10,11.5,0.3555541235292703,False,0.6805555555555556,large,8
D-24 de_authority vs raw,ndcg@10,77.0,0.2957091868675982,False,0.6333333333333333,large,20
D-24 de_authority vs raw,mrr,2.0,0.13621686984456766,False,0.8666666666666667,large,5
D-24 de_section vs raw,precision@5,,,False,,insufficient_data,3
D-24 de_section vs raw,recall@10,5.0,0.24493657804646674,False,0.7619047619047619,large,6
D-24 de_section vs raw,ndcg@10,65.0,0.37140617888925986,False,0.6198830409356726,large,18
D-24 de_section vs raw,mrr,6.5,0.3990751965482372,False,0.6904761904761905,large,6
D-24 de_relationships vs raw,precision@5,7.5,1.0,False,0.5,large,5
D-24 de_relationships vs raw,recall@10,11.5,0.3555541235292703,False,0.6805555555555556,large,8
D-24 de_relationships vs raw,ndcg@10,72.0,0.21755612003811897,False,0.6571428571428571,large,20
D-24 de_relationships vs raw,mrr,2.0,0.13621686984456766,False,0.8666666666666667,large,5
